Title,cast_and_crew
Malignant,"James Wan (director); Akela Cooper (screenplay); Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White, Jacqueline McKenzie"
Queenpins,"Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn"
The Card Counter,"Paul Schrader (director/screenplay); Oscar Isaac, Tiffany Haddish, Tye Sheridan, Willem Dafoe"
Come from Away,"Christopher Ashley (director); Irene Sankoff, David Hein (screenplay); Petrina Bromley, Jenn Colella, De'Lon Grant, Joel Hatch, Tony LePage, Caesar Samayoa, Q. Smith, Astrid Van Wieren, Emily Walton, Jim Walton, Sharon Wheatley, Paul Whitty"
The Voyeurs,"Michael Mohan (director/screenplay); Sydney Sweeney, Justice Smith, Ben Hardy, Natasha Liu Bordizzo"
Small Engine Repair,"John Pollono (director/screenplay); Jon Bernthal, Shea Whigham, Jordana Spiro, John Pollono, Ciara Bravo, Spencer House"
Language Lessons,"Natalie Morales (director/screenplay), Mark Duplass (screenplay), Natalie Morales, Mark Duplass, Desean Terry"
Show Me the Father,"Rick Altizer (director); Sherman Smith, Tony Evans, Steven Kendrick, Alex Kendrick, Deland McCullough, Jim Daly, Eddie George"
Catch the Bullet,"Michael Feifer (director); Jerry Robbins (screenplay); Jay Pickett, Peter Facinelli, Tom Skerritt"
Dating and New York,"Jonah Feingold (director/screenplay); Francesca Reale, Jaboukie Young-White, Catherine Cohen, Brian Muller, Jerry Ferrara"
Bad Candy,"Scott B. Hansen, Desiree Connell (director/screenplay); Zach Galligan, Derek Russo, Corey Taylor"
Generation Wrecks,"Kevin T. Morales (director/screenplay); Victoria Leigh, Bridget McGarry (screenplay); Bridget McGarry, Victoria Leigh, Okieriete Onaodowan, Emily Bergl, Heather Matarazzo"
My Son,"Christian Carion (director/screenplay); Laurie Irrmann (screenplay); James McAvoy, Claire Foy, Gary Lewis, Tom Cullen"
Nightbooks,"David Yarovesky (director); Mikki Daughtry, Tobias Iaconis (screenplay); Winslow Fegley, Lidya Jewett, Krysten Ritter"
The Starling,"Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy, Chris O'Dowd, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Loretta Devine, Kevin Kline"
The Eyes of Tammy Faye,"Michael Showalter (director); Abe Sylvia (screenplay); Jessica Chastain, Andrew Garfield, Cherry Jones, Vincent D'Onofrio"
Cry Macho,"Clint Eastwood (director); Nick Schenk, N. Richard Nash (screenplay); Clint Eastwood, Dwight Yoakam, Eduardo Minett"
Copshop,"Joe Carnahan (director/screenplay); Kurt McLeod (screenplay); Gerard Butler, Frank Grillo, Alexis Louder, Toby Huss"
Blue Bayou,"Justin Chon (director/screenplay); Justin Chon, Alicia Vikander, Mark O'Brien, Linh Dan Pham, Sydney Kowalske, Vondie Curtis-Hall, Emory Cohen"
Prisoners of the Ghostland,"Sion Sono (director); Aaron Hendry, Reza Sixo Safai (screenplay); Nicolas Cage, Sofia Boutella, Bill Moseley, Nick Cassavetes, Tak Sakaguchi, Ed Skrein"
Best Sellers,"Lina Roessler (director); Anthony Grieco (screenplay); Michael Caine, Aubrey Plaza, Scott Speedman, Ellen Wong, Veronica Ferres, Cary Elwes"
Lady of the Manor,"Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán"
The Nowhere Inn,"Bill Benz (director); Annie Clark, Carrie Brownstein (screenplay); Annie Clark, Carrie Brownstein, Dakota Johnson"
My Name is Pauli Murray,"Betsy West, Julie Cohen (director); Talleah Bridges McMahon, Julie Cohen, Betsy West, Cinque Northern (screenplay)"
The Killing of Kenneth Chamberlain,"David Midell (director/screenplay); Frankie Faison, Steve O'Connell, Enrico Natale, Ben Marten, LaRoyce Hawkins, Anika Noni Rose"
Intrusion,"Adam Salky (director); Chris Sparling (screenplay); Freida Pinto, Logan Marshall-Green, Robert John Burke"
My Little Pony: A New Generation,"Robert Cullen, Jose Ucha (directors); Gillian Berrow, Tim Sullivan (screenplay); Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr"
Dear Evan Hansen,"Stephen Chbosky (director); Steven Levenson (screenplay); Ben Platt, Kaitlyn Dever, Amandla Stenberg, Nik Dodani, Colton Ryan, Danny Pino, Julianne Moore, Amy Adams"
The Guilty,"Antoine Fuqua (director); Nic Pizzolatto (screenplay); Jake Gyllenhaal, Ethan Hawke, Riley Keough, Christina Vidal, Eli Goree, Da'Vine Joy Randolph, Paul Dano, Peter Sarsgaard"
Birds of Paradise,"Sarah Adina Smith (director/screenplay); Kristine Froseth, Diana Silvers, Jacqueline Bisset, Stav Strashko"
After We Fell,"Castille Landon (director); Sharon Soboil (screenplay); Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Rob Estes, Arielle Kebbel, Chance Perdomo, Frances Turner, Kiana Madeira, Carter Jenkins, Stephen Moyer, Mira Sorvino"
Venom: Let There Be Carnage,"Andy Serkis (director), Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Naomie Harris, Reid Scott, Stephen Graham, Woody Harrelson"
The Many Saints of Newark,"Alan Taylor (director); David Chase, Lawrence Konner (screenplay); Alessandro Nivola, Michael Gandolfini, Leslie Odom Jr., Jon Bernthal, Corey Stoll, Billy Magnussen, Michela De Rossi, John Magaro, Ray Liotta, Vera Farmiga"
The Addams Family 2,"Conrad Vernon, Greg Tiernan (directors); Dan Hernandez, Benji Samit, Ben Queen, Susanna Fogel (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Nick Kroll, Javon Walton, Wallace Shawn, Snoop Dogg, Bette Midler, Bill Hader"
Bingo Hell,"Gigi Saul Guerrero (director/screenplay); Shane McKenzie, Perry Blackshear (screenplay); L. Scott Caldwell, Adriana Barraza, Joshua Caleb Johnson"
Black as Night,"Maritte Lee Go (director); Sherman Payne (screenplay); Ashja Cooper, Theodus Crane, Kenneisha Thompson, Al Mitchell"
Old Henry,"Potsy Ponciroli (director/screenplay); Tim Blake Nelson, Scott Haze, Gavin Lewis, Trace Adkins, Stephen Dorff"
The Jesus Music,"Erwin brothers (director); Jon Erwin (screenplay); Amy Grant, Michael W. Smith, TobyMac, Kirk Franklin, Lauren Daigle"
Mayday,"Karen Cinorre (director/screenplay); Grace Van Patten, Mia Goth, Havana Rose Liu, Soko, Juliette Lewis"
God's Not Dead: We the People,"Vance Null (director); Tommy Blaze (screenplay); David A. R. White, Antonio Sabàto Jr., Francesca Battistelli, William Forsythe, Isaiah Washington, Jeanine Pirro"
There's Someone Inside Your House,"Patrick Brice (director); Henry Gayden (screenplay); Sydney Park, Theodore Pellerin, Asjha Cooper, Jesse LaTourette, Diego Josef"
No Time to Die,"Cary Joji Fukunaga (director/screenplay); Neal Purvis and Robert Wade, Phoebe Waller-Bridge (screenplay); Daniel Craig, Rami Malek, Léa Seydoux, Lashana Lynch, Ben Whishaw, Naomie Harris, Billy Magnussen, Ana de Armas, David Dencik, Jeffrey Wright, Christoph Waltz, Ralph Fiennes"
Mass,"Fran Kranz (director/screenplay); Reed Birney, Ann Dowd, Jason Isaacs, Martha Plimpton"
South of Heaven,"Aharon Keshales (director/screenplay); Navot Papushado, Kai Mark (screenplay); Jason Sudeikis, Evangeline Lilly, Shea Whigham, Mike Colter"
The Manor,"Axelle Carolyn (director/screenwriter); Barbara Hershey, Bruce Davison, Stacey Travis, Ciera Payton, Jill Larson, Mark Steger"
Madres,"Ryan Zaragoza (director); Marcella Ochoa, Mario Miscione (screenplay); Elpidia Carrillo, Tenoch Huerta"
Justin Bieber: Our World,"Michael D. Ratner (director); Justin Bieber, Hailey Bieber"
Halloween Kills,"David Gordon Green (director/screenplay); Danny McBride, Scott Teems (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Thomas Mann, Anthony Michael Hall"
The Last Duel,"Ridley Scott (director); Nicole Holofcener, Ben Affleck, Matt Damon (screenplay); Matt Damon, Adam Driver, Jodie Comer, Ben Affleck"
Needle in a Timestack,"John Ridley (director/sceenplay); Leslie Odom Jr., Freida Pinto, Cynthia Erivo, Orlando Bloom"
Hard Luck Love Song,"Justin Corsbie (director/screenplay); Craig Ugoretz (screenplay); Michael Dorman, Sophia Bush, Dermot Mulroney, Eric Roberts, Brian Sacca, Melora Walters, RZA"
"Introducing, Selma Blair",Rachel Fleit (director); Selma Blair
The Velvet Underground,Todd Haynes (director); The Velvet Underground
Night Teeth,"Adam Randall (director); Brent Dillon (screenplay); Jorge Lendeborg Jr., Debby Ryan, Lucy Fry, Alfie Allen, Raúl Castillo, Alexander Ludwig"
Dune,"Denis Villeneuve (director/screenplay); Jon Spaihts, Eric Roth (screenplay); Timothee Chalamet, Rebecca Ferguson, Oscar Isaac, Josh Brolin, Stellan Skarsgard, Dave Bautista, Stephen McKinley Henderson, Zendaya, Chang Chen, Sharon Duncan-Brewster, Charlotte Rampling, Jason Momoa, Javier Bardem"
Ron's Gone Wrong,"Sarah Smith, Jean-Philippe Vine (directors); Peter Baynham, Sarah Smith (screenplay); Zach Galifianakis, Jack Dylan Grazer, Ed Helms, Justice Smith, Rob Delaney, Kylie Cantrall, Ricardo Hurtado, Olivia Colman"
The French Dispatch,"Wes Anderson (director/screenplay); Benicio del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux, Frances McDormand, Timothée Chalamet, Lyna Khoudri, Jeffrey Wright, Mathieu Amalric, Stephen Park, Bill Murray, Owen Wilson"
The Harder They Fall,"Jeymes Samuel (director/screenplay); Boaz Yakin (screenplay); Jonathan Majors, Idris Elba, Zazie Beetz, Regina King, Delroy Lindo, Lakeith Stanfield, RJ Cyler, Danielle Deadwyler, Edi Gathegi, Deon Cole"
The Electrical Life of Louis Wain,"Will Sharpe (director/screenplay); Simon Stephenson (screenplay); Benedict Cumberbatch, Claire Foy, Andrea Riseborough, Toby Jones, Olivia Colman"
Warning,"Agata Alexander (director/screenplay); Jason Kaye, Rob Michaelson (screenplay); Alex Pettyfer, Alice Eve, Annabelle Wallis, Benedict Samuel, Charlotte Le Bon, Thomas Jane"
Passing,"Rebecca Hall (director/screenplay); Tessa Thompson, Ruth Negga, André Holland, Bill Camp, Gbenga Akinnagbe, Antoinette Crowe-Legacy, Alexander Skarsgård"
Hypnotic,"Matt Angel, Suzanne Coote (director); Richard D'Ovidio (screenplay); Kate Siegel, Jason O'Mara, Dulé Hill"
Antlers,"Scott Cooper (director/screenplay); Nick Antosca, C. Henry Chaisson (screenplay); Keri Russell, Jesse Plemons, Jeremy T. Thomas, Graham Greene, Scott Haze, Rory Cochrane, Amy Madigan"
Army of Thieves,"Matthias Schweighöfer (director); Shay Hatten (screenplay); Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin, Guz Khan, Jonathan Cohen"
A Mouthful of Air,"Amy Koppelman (director/screenplay); Amanda Seyfried, Finn Wittrock, Jennifer Carpenter, Michael Gaston, Amy Irving, Paul Giamatti"
The Souvenir Part II,"Joanna Hogg (director/screenplay); Honor Swinton Byrne, Jaygann Ayeh, Richard Ayoade, Ariane Labed, James Spencer Ashworth, Harris Dickinson, Charlie Heaton, Joe Alwyn, Tilda Swinton"
Paranormal Activity: Next of Kin,"William Eubank (director); Christopher Landon (screenplay); Emily Bader, Roland Buck III, Dan Lippert, Henry Ayres-Brown"
The Spine of Night,"Philip Gelatt, Morgan Galen King (director/screenplay); Richard E. Grant, Lucy Lawless, Patton Oswalt, Betty Gabriel, Joe Manganiello"
Violet,"Justine Bateman (director/screenplay); Olivia Munn, Luke Bracey, Justin Theroux"
Heart of Champions,"Michael Mailer (director); Vojin Gjaja (screenplay); Michael Shannon, Alexander Ludwig, Charles Melton"
Eternals,"Chloé Zhao (director/screenplay); Patrick Burleigh (screenplay); Gemma Chan, Richard Madden, Kumail Nanjiani, Lia McHugh, Brian Tyree Henry, Lauren Ridloff, Barry Keoghan, Don Lee, Harish Patel, Bill Skarsgård, Kit Harington, Salma Hayek, Angelina Jolie"
Red Notice,"Rawson Marshall Thurber (director/screenplay); Dwayne Johnson, Ryan Reynolds, Gal Gadot, Chris Diamantopoulos, Ritu Arya"
Finch,"Miguel Sapochnik (director); Craig Luck, Igor Powell (screenplay); Tom Hanks, Caleb Landry Jones"
Spencer,"Pablo Larraín (director); Steven Knight (screenplay); Kristen Stewart, Timothy Spall, Jack Farthing, Sean Harris, Sally Hawkins"
Dangerous,"David Hackl (director); Chris Borrelli (screenplay); Mel Gibson, Scott Eastwood, Tyrese Gibson, Famke Janssen, Kevin Durand"
Love Hard,"Hernán Jiménez (director); Danny Mackey, Rebecca Ewing (screenplay); Nina Dobrev, Jimmy O. Yang, Darren Barnet"
The Beta Test,"Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr"
Clifford the Big Red Dog,"Walt Becker (director); Jay Scherick, David Ronn, Blaise Hemingway (screenplay); Jack Whitehall, Darby Camp, Tony Hale, Sienna Guillory, David Alan Grier, Russell Wong, Kenan Thompson, John Cleese"
"Tick, Tick... Boom!","Lin-Manuel Miranda (director); Steven Levenson (sceenplay); Andrew Garfield, Alexandra Shipp, Robin de Jesús, Joshua Henry, Judith Light, Vanessa Hudgens, Bradley Whitford"
Home Sweet Home Alone,"Dan Mazer (director); Mikey Day, Streeter Seidell (screenplay); Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Pete Holmes, Kenan Thompson, Ally Maki, Chris Parnell"
Apex,"Edward John Drake (director/screenplay); Corey William Large (screenplay); Neal McDonough, Bruce Willis"
The Power of the Dog,"Jane Campion (director/screenplay); Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee, Thomasin McKenzie, Genevieve Lemon, Keith Carradine, Frances Conroy"
Bruised,"Halle Berry (director); Michelle Rosenfarb (screenplay); Halle Berry, Shamier Anderson, Adan Canto, Sheila Atim, Valentina Shevchenko, Stephen McKinley Henderson"
The Princess Switch 3: Romancing the Star,"Michael Rohl (director); Robin Bernheim (screenplay); Vanessa Hudgens, Sam Palladio, Nick Sagar"
Ghostbusters: Afterlife,"Jason Reitman (director/screenplay); Gil Kenan (screenplay); Carrie Coon, Finn Wolfhard, Mckenna Grace, Paul Rudd, Logan Kim, Celeste O'Connor, Bill Murray, Dan Aykroyd, Ernie Hudson, Sigourney Weaver, Annie Potts"
King Richard,"Reinaldo Marcus Green (director); Zach Baylin (screenplay); Will Smith, Aunjanue Ellis, Saniyya Sidney, Demi Singleton, Tony Goldwyn, Jon Bernthal, Dylan McDermott"
Extinct,"David Silverman, Raymond S. Persi (directors); Joel Cohen, John Frink, Rob LaZebnik (screenplay); Adam DeVine, Rachel Bloom, Zazie Beetz, Ken Jeong, Jim Jefferies, Catherine O'Hara, Tom Hollander, Reggie Watts, Henry Winkler, Benedict Wong, Nick Frost, Alex Borstein"
C'mon C'mon,"Mike Mills (director/screenplay); Joaquin Phoenix, Gaby Hoffmann, Woody Norman, Scoot McNairy, Molly Webster, Jaboukie Young-White"
Black Friday,"Casey Tebo (director); Andy Greskoviak (screenplay); Devon Sawa, Ivana Baquero, Ryan Lee, Michael Jai White, Bruce Campbell"
Zeros and Ones,"Abel Ferrara (director/screenplay); Ethan Hawke, Valerio Mastandrea"
Friend of the World,"Brian Patrick Butler (director/screenplay); Nick Young, Alexandra Slade, Michael C. Burgess, Kathryn Schott, Kevin Smith, Luke Pensabene"
Encanto,"Byron Howard, Jared Bush, Chasire Castro Smith (directors); Chasire Castro Smith, Jared Bush (screenplay); Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo, Jessica Darrow, Angie Cepeda, Carolina Gaitán, Diane Guerrero, Wilmer Valderrama"
House of Gucci,"Ridley Scott (director); Becky Johnston, Roberto Bentivegna (screenplay); Lady Gaga, Adam Driver, Jared Leto, Jeremy Irons, Salma Hayek, Al Pacino"
The Unforgivable,"Nora Fingscheidt (director); Peter Craig, Hillary Seitz, Courtenay Miles (screenplay); Sandra Bullock, Vincent D'Onofrio, Jon Bernthal, Richard Thomas, Linda Emond, Aisling Franciosi, Rob Morgan, Viola Davis"
Resident Evil: Welcome to Raccoon City,"Johannes Roberts (director/screenplay); Kaya Scodelario, Hannah John-Kamen, Robbie Amell, Tom Hopper, Avan Jogia, Donal Logue, Neal McDonough"
8-Bit Christmas,"Michael Dowse (director); Kevin Jakubowski (screenplay); Neil Patrick Harris, Winslow Fegley, June Diane Raphael, David Cross, Steve Zahn"
The Humans,"Stephen Karam (director/screenplay); Richard Jenkins, Jayne Houdyshell, Amy Schumer, Beanie Feldstein, Steven Yeun, June Squibb"
Licorice Pizza,"Paul Thomas Anderson (director/screenplay); Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits, Bradley Cooper, Benny Safdie"
Single All the Way,"Michael Mayer (director); Chad Hodge (screenplay); Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick, Kathy Najimy, Jennifer Coolidge"
Diary of a Wimpy Kid,"Swinton O. Scott III (director); Jeff Kinney (screenplay); Brady Noon, Ethan William Childress, Chris Diamantopoulos, Erica Cerra, Hunter Dillon"
Back to the Outback,"Clare Knight (director); Harry Cripps (director/screenplay); Isla Fisher, Tim Minchin, Eric Bana, Guy Pearce, Miranda Tapsell, Angus Imrie, Keith Urban, Jacki Weaver"
Encounter,"Michael Pierce (director/screenplay); Joe Barton (screenplay); Riz Ahmed, Octavia Spencer, Janina Gavankar, Rory Cochrane, Misha Collins, Lucian-River Chauhan, Aditya Geddada"
Mixtape,"Valerie Weiss (director); Stacey Menear (screenplay); Gemma Brooke Allen, Jackson Rathbone, Nick Thune, Julie Bowen"
Flee,Jonas Poher Rasmussen (director/screenplay); Amin (screenplay)
West Side Story,"Steven Spielberg (director); Tony Kushner (screenplay); Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez, Mike Faist, Rita Moreno, Brian d'Arcy James, Corey Stoll"
Don't Look Up,"Adam McKay (director/screenplay); Leonardo DiCaprio, Jennifer Lawrence, Rob Morgan, Jonah Hill, Mark Rylance, Tyler Perry, Ron Perlman, Timothée Chalamet, Ariana Grande, Scott Mescudi, Himesh Patel, Melanie Lynskey, Cate Blanchett, Meryl Streep"
National Champions,"Ric Roman Waugh (director); Adam Mervis (screenplay); Stephan James, J. K. Simmons, Alexander Ludwig, Lil Rel Howery, Tim Blake Nelson, Andrew Bachelor, Jeffrey Donovan, David Koechner, Kristin Chenoweth, Timothy Olyphant, Uzo Aduba"
Being the Ricardos,"Aaron Sorkin (director/screenplay); Nicole Kidman, Javier Bardem, J. K. Simmons, Nina Arianda, Tony Hale, Alia Shawkat, Jake Lacy, Clark Gregg"
Red Rocket,"Sean Baker (director/screenplay); Chris Bergoch (screenplay); Simon Rex, Bree Elrod, Suzanna Son"
The Hating Game,"Peter Hutchings (director); Christina Mengert (screenplay); Lucy Hale, Austin Stowell, Damon Daunno, Sakina Jaffrey, Corbin Bernsen"
Rumble,"Hamish Grieve (director/screenplay); Matt Lieberman, Alexandra Bracken (screenplay); Will Arnett, Terry Crews, Geraldine Viswanathan, Fred Melamed, Becky Lynch, Roman Reigns, Ben Schwartz, Jimmy Tatro, Tony Danza"
Spider-Man: No Way Home,"Jon Watts (director); Chris McKenna, Erik Sommers (screenplay); Tom Holland, Benedict Cumberbatch, Zendaya, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire"
Nightmare Alley,"Guillermo del Toro (director/screenplay); Kim Morgan (screenplay); Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Richard Jenkins, Rooney Mara, Ron Perlman, Mary Steenburgen, David Strathairn"
The Lost Daughter,"Maggie Gyllenhaal (director/screenplay); Olivia Colman, Dakota Johnson, Jessie Buckley, Paul Mescal, Dagmara Domińczyk, Jack Farthing, Oliver Jackson-Cohen, Peter Sarsgaard, Ed Harris"
Cyrano,"Joe Wright (director); Erica Schmidt (screenplay); Peter Dinklage, Haley Bennett, Kelvin Harrison Jr., Ben Mendelsohn"
Swan Song,"Benjamin Cleary (director/screenplay); Mahershala Ali, Naomie Harris, Glenn Close, Awkwafina, Adam Beach"
